1773565200000;1;32189;5;0;0;0;0
1773565200000;9;500;1;0;0;0;0
1773565200000;6;20000;4;0;0;0;0
1773565200000;18;600000;300;5000;1;0;0
1773565200000;21;400;50;3;60;3;6
1773565200000;24;30;3;0;0;0;0
1773565200000;14;11000;9000;0;0;0;0
1773565200000;15;20;30000;0;0;0;0
1773565200000;25;300;150;0;0;0;0
1773565200000;11;30000;0;0;0;0;0
1773565200000;12;1000;40;5;10;0;0
1773565200000;13;450;0;0;0;0;0
1773565201000;8;295;105;0;0;0;0
1773565202000;4;4;0;0;0;0;0
1773565203000;3;17852;10;0;0;0;0
1773651600000;13;400;0;0;0;0;0
1773651600000;9;453;2;0;0;0;0
1773651600000;6;18207;3;0;0;0;0
1773651600000;18;686800;300;5000;1;0;0
1773651600000;12;1073;40;5;10;0;0
1773651600000;1;31881;5;0;0;0;0
1773651600000;21;369;50;4;60;3;6
1773651600000;15;21;30000;0;0;0;0
1773651600000;24;32;2;0;0;0;0
1773651600000;25;262;131;0;0;0;0
1773651600000;11;31986;0;0;0;0;0
1773651600000;14;9847;10153;0;0;0;0
1773651601000;8;275;96;0;0;0;0
1773651602000;4;4;0;0;0;0;0
1773651603000;3;17623;10;0;0;0;0
1773738000000;9;415;1;0;0;0;0
1773738000000;11;36456;0;0;0;0;0
1773738000000;13;379;1;0;0;0;0
1773738000000;14;9279;10721;0;0;0;0
1773738000000;18;762997;300;5000;1;0;0
1773738000000;25;233;116;0;0;0;0
1773738000000;1;30844;5;0;0;0;0
1773738000000;15;24;30000;0;0;0;0
1773738000000;24;34;0;0;0;0;0
1773738000000;12;1131;40;5;10;0;0
1773738000000;6;16273;3;0;0;0;0
1773738000000;21;317;50;1;60;3;6
1773738001000;8;268;84;0;0;0;0
1773738002000;4;5;0;0;0;0;0
1773738003000;3;17501;10;0;0;0;0
1773824400000;21;279;50;0;60;3;6
1773824400000;14;8436;11564;0;0;0;0
1773824400000;24;39;2;0;0;0;0
1773824400000;18;859865;300;5000;1;0;0
1773824400000;25;221;110;0;0;0;0
1773824400000;13;351;0;0;0;0;0
1773824400000;15;27;30000;0;0;0;0
1773824400000;12;1245;40;5;10;0;0
1773824400000;6;15452;3;0;0;0;0
1773824400000;9;385;1;0;0;0;0
1773824400000;1;29993;5;0;0;0;0
1773824400000;11;38442;0;0;0;0;0
1773824401000;8;260;81;0;0;0;0
1773824402000;4;5;0;0;0;0;0
1773824403000;3;17215;10;0;0;0;0
1773910800000;13;325;0;0;0;0;0
1773910800000;18;907887;300;5000;1;0;0
1773910800000;25;190;95;0;0;0;0
1773910800000;6;14184;2;0;0;0;0
1773910800000;9;363;1;0;0;0;0
1773910800000;21;262;50;2;60;3;6
1773910800000;14;7546;12454;0;0;0;0
1773910800000;1;29350;5;0;0;0;0
1773910800000;24;44;1;0;0;0;0
1773910800000;15;28;30000;0;0;0;0
1773910800000;11;42936;0;0;0;0;0
1773910800000;12;1417;40;5;10;0;0
1773910801000;8;233;74;0;0;0;0
1773910802000;4;6;0;0;0;0;0
1773910803000;3;16685;10;0;0;0;0
1773997200000;15;32;30000;0;0;0;0
1773997200000;24;48;0;0;0;0;0
1773997200000;25;173;86;0;0;0;0
1773997200000;14;6993;13007;0;0;0;0
1773997200000;9;326;2;0;0;0;0
1773997200000;13;308;1;0;0;0;0
1773997200000;18;1019044;300;5000;1;0;0
1773997200000;11;47769;0;0;0;0;0
1773997200000;1;28699;5;0;0;0;0
1773997200000;12;1574;40;5;10;0;0
1773997200000;21;238;50;4;60;3;6
1773997200000;6;12578;2;0;0;0;0
1773997201000;8;221;69;0;0;0;0
1773997202000;4;6;0;0;0;0;0
1773997203000;3;16345;10;0;0;0;0
1774083600000;24;54;2;0;0;0;0
1774083600000;25;159;79;0;0;0;0
1774083600000;18;1131798;300;5000;1;0;0
1774083600000;1;28612;5;0;0;0;0
1774083600000;15;35;30000;0;0;0;0
1774083600000;6;10725;2;0;0;0;0
1774083600000;14;6368;13632;0;0;0;0
1774083600000;9;306;2;0;0;0;0
1774083600000;13;289;1;0;0;0;0
1774083600000;11;53866;0;0;0;0;0
1774083600000;12;1660;40;5;10;0;0
1774083600000;21;204;50;2;60;3;6
1774083601000;8;205;65;0;0;0;0
1774083602000;4;7;0;0;0;0;0
1774083603000;3;15987;10;0;0;0;0
